scorer,DeepCut_resnet50_frontMar14shuffle1_1015000,DeepCut_resnet50_frontMar14shuffle1_1015000,DeepCut_resnet50_frontMar14shuffle1_1015000,DeepCut_resnet50_frontMar14shuffle1_1015000,DeepCut_resnet50_frontMar14shuffle1_1015000,DeepCut_resnet50_frontMar14shuffle1_1015000,DeepCut_resnet50_frontMar14shuffle1_1015000,DeepCut_resnet50_frontMar14shuffle1_1015000,DeepCut_resnet50_frontMar14shuffle1_1015000,DeepCut_resnet50_frontMar14shuffle1_1015000,DeepCut_resnet50_frontMar14shuffle1_1015000,DeepCut_resnet50_frontMar14shuffle1_1015000,DeepCut_resnet50_frontMar14shuffle1_1015000,DeepCut_resnet50_frontMar14shuffle1_1015000,DeepCut_resnet50_frontMar14shuffle1_1015000
bodyparts,nose,nose,nose,l_ear,l_ear,l_ear,r_ear,r_ear,r_ear,l_eye,l_eye,l_eye,r_eye,r_eye,r_eye
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,300.3713432252407,288.0274875164032,0.9999946355819702,311.9349172115326,229.72087955474854,0.999936580657959,260.7569550871849,228.3194943368435,0.9999657869338989,309.97745525836945,247.9394235610962,1.0,275.56231212615967,247.37327527999878,1.0
1,301.9941027164459,288.0091202259064,0.9999955892562866,312.36301040649414,229.62340009212494,0.9999381303787231,261.43446826934814,227.66358935832977,0.9999912977218628,310.91853642463684,247.91724514961243,1.0,276.1418047696352,247.6929271221161,1.0
2,302.7078185081482,288.1066269874573,0.9999946355819702,312.6351432800293,229.24157619476318,0.9999345541000366,261.90948247909546,227.2950974702835,0.9999922513961792,311.11670875549316,247.90865468978882,1.0,276.22104129195213,247.60178065299988,1.0
3,303.82147550582886,287.90100049972534,0.9999945163726807,313.88498544692993,228.43594932556152,0.9999570846557617,263.1181516647339,227.48277473449707,0.9999897480010986,312.3124933242798,247.99952912330627,1.0,277.28776586055756,247.453551530838,1.0
4,304.31613850593567,287.13185954093933,0.9999963045120239,314.06935453414917,228.24312104284763,0.9999597072601318,263.75265669822693,227.22378331422806,0.9999847412109375,312.53530168533325,248.01426362991333,1.0,277.79136872291565,247.22019481658936,1.0
5,304.9507281780243,288.20670771598816,0.9999970197677612,314.6297810077667,228.00354864774272,0.99996018409729,264.48845911026,227.48635530471802,0.9999780654907227,313.4659843444824,248.2810845375061,0.9999998807907104,278.2230701446533,247.26675629615784,1.0
6,305.732919216156,288.29160594940186,0.9999972581863403,314.8893790245056,228.0186060220003,0.9999619722366333,264.7704427242279,227.83367493748665,0.9999842643737793,313.66675662994385,248.42504692077637,0.9999998807907104,278.84309244155884,247.35490608215332,1.0
7,306.12235164642334,287.1912522315979,0.9999979734420776,315.33661633729935,227.98849778156728,0.9999574422836304,265.4944746494293,227.8618600666523,0.9999871253967285,313.32371830940247,247.75846791267395,0.9999998807907104,279.39947962760925,247.3062744140625,1.0
8,306.9190547466278,287.08363485336304,0.9999985694885254,316.52834689617157,227.76292324066162,0.9999592304229736,266.009228348732,227.69785687327385,0.9999895095825195,314.56423366069794,247.90412878990173,1.0,280.1856083869934,247.4061300754547,1.0
9,307.6388257443905,287.3469476699829,0.9999985694885254,316.8806383013725,227.83598937094212,0.9999598264694214,266.39392137527466,227.64927697181702,0.9999908208847046,314.9156038761139,248.0493884086609,1.0,280.72831106185913,247.42890548706055,1.0
10,308.4891585409641,287.62952041625977,0.9999986886978149,318.0010871887207,227.8788537532091,0.9999514818191528,266.7584640979767,227.429438829422,0.9999918937683105,316.09821908921003,247.87727308273315,1.0,281.4131598472595,247.5762460231781,1.0
11,309.07685029506683,287.7240822315216,0.9999985694885254,318.24313855171204,227.99301827838644,0.9999521970748901,267.43481159210205,227.48237121105194,0.9999920129776001,316.481350004673,247.88859152793884,1.0,282.1090626716614,247.4080994129181,1.0
12,309.4721567630768,287.5429410934448,0.9999985694885254,318.1855778694153,228.37369847297668,0.9999656677246094,268.14141777157784,227.26213592290878,0.9999924898147583,317.4110184907913,247.7832067012787,1.0,282.7843887805939,247.27260422706604,1.0
13,309.87123477458954,287.53840684890747,0.9999986886978149,318.64116048812866,228.40881860256195,0.9999760389328003,268.99107748270035,227.3952675461769,0.9999922513961792,317.8394960165024,247.817289352417,1.0,283.236200094223,247.08254051208496,1.0
14,310.3691608905792,287.3709788322449,0.9999986886978149,319.39389276504517,228.5733661055565,0.9999803304672241,269.5810899734497,227.39403003454208,0.9999920129776001,318.7937047481537,247.37535452842712,1.0,283.3082086443901,247.24744296073914,1.0
15,311.06141781806946,287.5765995979309,0.9999982118606567,319.7582674026489,228.57166874408722,0.9999842643737793,270.1179883480072,227.18627947568893,0.9999903440475464,319.26233673095703,247.59627413749695,1.0,284.5953658223152,247.1184639930725,1.0
16,311.2909183502197,287.6725449562073,0.9999974966049194,320.9623351097107,228.1859541684389,0.9999871253967285,270.70395851135254,226.84944880008698,0.9999924898147583,320.1072015762329,247.55129051208496,1.0,284.7258444428444,247.1789059638977,1.0
17,312.793331861496,289.3495759963989,0.9999964237213135,321.66792273521423,227.95228634774685,0.9999886751174927,271.4752149581909,226.8666229248047,0.9999949932098389,320.70120429992676,247.31171488761902,1.0,285.78378546237946,247.23570561408997,1.0
18,313.4213387966156,289.61851167678833,0.9999966621398926,322.5261563062668,227.94758105278015,0.9999892711639404,271.8492341041565,226.6822578907013,0.9999959468841553,321.5644779205322,247.2994406223297,1.0,286.4416582584381,247.17591547966003,1.0
19,313.9758050441742,289.98741817474365,0.999997615814209,322.92253506183624,227.96085696294904,0.9999896287918091,272.64742636680603,226.6251460313797,0.9999970197677612,321.88577818870544,247.33179116249084,1.0,286.9607803821564,247.28623700141907,1.0
20,314.65455424785614,290.5070860385895,0.9999983310699463,323.36215513944626,227.73518577218056,0.9999901056289673,273.0628151893616,226.47428286075592,0.9999972581863403,323.0432934165001,247.5097999572754,1.0,287.6491949558258,247.43928837776184,1.0
21,315.47244077920914,290.8608982563019,0.9999990463256836,323.58172142505646,227.58763340115547,0.9999910593032837,273.52374601364136,226.4630217552185,0.9999974966049194,323.36151200532913,247.51403045654297,1.0,288.0208258628845,247.57850670814514,1.0
22,316.3025986254215,291.1457185745239,0.9999990463256836,324.27974447607994,227.48049181699753,0.9999908208847046,273.89416122436523,226.38165318965912,0.9999978542327881,324.31169840693474,247.59456944465637,1.0,288.49304389953613,247.81104564666748,1.0
23,316.8031683564186,291.3495370745659,0.9999991655349731,324.74748861789703,227.44886976480484,0.9999904632568359,274.31702637672424,226.5115908384323,0.9999977350234985,324.6420722603798,247.6602921485901,1.0,288.9704179763794,248.06060218811035,1.0
24,317.499489068985,291.3713685274124,0.9999992847442627,325.4820821285248,227.515714854002,0.9999896287918091,274.7915360927582,226.4813233613968,0.9999980926513672,325.54378175735474,247.8454990386963,1.0,289.3643870353699,248.21311950683594,1.0
25,317.7349478006363,291.66837123036385,0.9999991655349731,325.93429946899414,227.6292310655117,0.9999881982803345,275.193495452404,226.81109154224396,0.9999979734420776,325.9587516784668,248.1396517753601,1.0,290.4301961660385,248.47445726394653,1.0
26,318.7285234928131,291.90146639198065,0.9999994039535522,326.4901225566864,227.7587321549654,0.9999864101409912,275.8403800725937,226.83492374420166,0.9999980926513672,326.50607657432556,248.52001810073853,1.0,290.99852526187897,248.70898580551147,1.0
27,318.9693558216095,292.4146963953972,0.9999995231628418,326.98442912101746,227.84166568517685,0.9999829530715942,276.37364596128464,227.08216857910156,0.9999979734420776,327.1036808490753,248.98180198669434,1.0,291.40056413412094,249.01249074935913,1.0
28,319.6944706439972,292.5439108014107,0.9999992847442627,327.7141184806824,227.94761446490884,0.9999760389328003,276.81250220537186,227.33963876962662,0.9999977350234985,327.62338614463806,249.18802976608276,1.0,291.94549682736397,249.21089458465576,1.0
29,320.07435750961304,293.06992769241333,0.9999990463256836,328.3483815193176,228.03307811170816,0.9999717473983765,277.5492594242096,227.6340666115284,0.9999970197677612,328.0885500907898,249.32388639450073,1.0,292.485323369503,249.44213771820068,1.0
30,320.860435962677,293.63958764076233,0.9999983310699463,329.01866245269775,228.09879956394434,0.9999769926071167,278.0572302341461,227.9643341191113,0.9999966621398926,328.723491191864,249.60658383369446,1.0,293.09202563762665,249.81576442718506,1.0
31,320.2867741584778,293.542197227478,0.9999986886978149,329.28006505966187,228.23039758205414,0.9999773502349854,278.47494769096375,228.42502036690712,0.9999958276748657,329.0988998413086,249.9140224456787,0.9999998807907104,293.6086698770523,250.50481748580933,1.0
32,320.7739722728729,294.0370593070984,0.999998927116394,329.97780656814575,228.7813183069229,0.9999804496765137,278.88814330101013,229.19384706020355,0.9999945163726807,329.63249921798706,250.51573050022125,0.9999998807907104,294.29175090789795,251.20833444595337,1.0
33,321.05717873573303,294.5402970314026,0.9999988079071045,330.5773675441742,229.21865117549896,0.9999802112579346,279.3346381187439,229.86038827896118,0.9999923706054688,329.9803171157837,250.49058306217194,0.9999998807907104,294.5149350166321,251.35437524318695,1.0
34,321.99888849258423,295.3153073787689,0.9999991655349731,331.17622965574265,229.73746705055237,0.9999816417694092,279.96236848831177,230.58447647094727,0.9999885559082031,330.39454996585846,251.71174737811089,1.0,295.03620743751526,252.1249080747366,1.0
35,322.99350476264954,295.8947637081146,0.9999991655349731,331.8332690447569,230.18968605995178,0.9999796152114868,280.5323452949524,231.12319827079773,0.9999825954437256,331.18376779556274,252.1084376424551,1.0,295.6621916294098,253.2605893611908,1.0
36,323.66014191508293,296.5799512863159,0.9999988079071045,332.18970538675785,230.5857698917389,0.9999779462814331,281.058301448822,231.93466210365295,0.9999662637710571,331.8916279375553,252.60283666849136,1.0,296.3167939186096,253.99127674102783,1.0
37,324.4782627224922,297.78908038139343,0.9999992847442627,332.69453966617584,231.1877634525299,0.999976634979248,281.6534445285797,232.51092147827148,0.9999550580978394,332.33332911133766,253.27799344062805,1.0,296.87869691848755,254.93817710876465,1.0
38,325.29511165618896,298.9918541908264,0.9999992847442627,333.16485583782196,231.93640565872192,0.9999731779098511,281.9964191913605,233.16902828216553,0.9999351501464844,332.4930386543274,253.91258716583252,0.9999998807907104,297.67847967147827,255.92379927635193,1.0
39,325.7817682027817,300.1587386727333,0.9999991655349731,333.78099942207336,232.6308150291443,0.9999644756317139,282.5979381799698,233.79220819473267,0.9999103546142578,332.97496604919434,254.82966017723083,0.9999998807907104,297.77854228019714,257.0223956108093,1.0
40,326.22000098228455,301.75959277153015,0.9999990463256836,334.19539618492126,232.98648762702942,0.9999558925628662,283.3917312026024,234.56883871555328,0.999914288520813,333.34635066986084,256.35147976875305,0.9999998807907104,298.2316986322403,257.6593837738037,1.0
41,326.82223629951477,303.1663553714752,0.9999986886978149,334.0929412841797,233.5140721797943,0.9999628067016602,283.8453262001276,235.372789144516,0.9999160766601562,333.9370541572571,257.39328813552856,1.0,298.6995565891266,258.4732346534729,1.0
42,327.41103625297546,304.3664586544037,0.9999986886978149,334.60996770858765,234.0795545578003,0.9999755620956421,284.37858015298843,236.04942762106657,0.999916672706604,334.4345073699951,258.3358303308487,1.0,298.9096065759659,259.73593467473984,1.0
43,327.5252220630646,305.39052391052246,0.9999992847442627,335.1572108268738,234.83129620552063,0.999984622001648,285.08739697933197,236.81982374191284,0.9999102354049683,334.6020760536194,259.0684295296669,1.0,299.40534949302673,260.6341317296028,1.0
44,327.8881576061249,306.40474689006805,0.9999995231628418,335.62583017349243,235.5301215350628,0.9999891519546509,285.86648893356323,237.1799224615097,0.9999332427978516,335.2500424385071,260.0131327053532,1.0,299.7404707670212,261.4757333993912,1.0
45,328.3061671257019,307.330713391304,0.9999996423721313,336.335736989975,236.37319421768188,0.9999918937683105,286.5541410446167,237.93378233909607,0.9999494552612305,335.7914044857025,260.9781858921051,1.0,300.2743501663208,262.01287865638733,1.0
46,328.50854682922363,308.2441282272339,0.9999996423721313,336.85929560661316,236.8738268017769,0.999992847442627,287.07063913345337,238.28011202812195,0.9999556541442871,336.2813868522644,262.02753376960754,1.0,300.9639589190483,262.98078775405884,1.0
47,328.5957450866699,308.86781322956085,0.9999995231628418,337.0540771484375,237.41161358356476,0.9999909400939941,287.8336706161499,238.90830612182617,0.9999648332595825,336.5441527366638,263.115859746933,1.0,301.48958468437195,263.9378752708435,1.0
48,328.8801374435425,309.75015139579773,0.9999994039535522,337.31667160987854,238.0230736732483,0.9999895095825195,288.18473958969116,239.84282064437866,0.9999703168869019,337.084899187088,263.93557047843933,1.0,301.67565631866455,264.7988748550415,1.0
49,329.3099455833435,310.84478855133057,0.9999991655349731,337.47227931022644,238.27097535133362,0.9999878406524658,288.71729135513306,240.24829530715942,0.9999797344207764,337.39046001434326,264.5689263343811,1.0,302.2090632915497,265.57958793640137,1.0
50,329.6243426799774,311.6100244522095,0.999998927116394,337.77906608581543,238.91044330596924,0.9999834299087524,289.1897087097168,240.9004406929016,0.9999876022338867,337.9403953552246,265.4226002693176,1.0,302.7277190685272,266.2077202796936,1.0
51,330.1170015335083,311.70293641090393,0.999998927116394,338.01834893226624,239.18358445167542,0.9999815225601196,289.7865083217621,241.2637095451355,0.9999905824661255,338.08601319789886,265.74833393096924,1.0,302.6820888519287,267.01317143440247,1.0
