scorer,DeepCut_resnet50_topMar19shuffle1_1030000,DeepCut_resnet50_topMar19shuffle1_1030000,DeepCut_resnet50_topMar19shuffle1_1030000,DeepCut_resnet50_topMar19shuffle1_1030000,DeepCut_resnet50_topMar19shuffle1_1030000,DeepCut_resnet50_topMar19shuffle1_1030000,DeepCut_resnet50_topMar19shuffle1_1030000,DeepCut_resnet50_topMar19shuffle1_1030000,DeepCut_resnet50_topMar19shuffle1_1030000,DeepCut_resnet50_topMar19shuffle1_1030000,DeepCut_resnet50_topMar19shuffle1_1030000,DeepCut_resnet50_topMar19shuffle1_1030000,DeepCut_resnet50_topMar19shuffle1_1030000,DeepCut_resnet50_topMar19shuffle1_1030000,DeepCut_resnet50_topMar19shuffle1_1030000
bodyparts,nose,nose,nose,l_ear,l_ear,l_ear,r_ear,r_ear,r_ear,l_eye,l_eye,l_eye,r_eye,r_eye,r_eye
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,348.5366823077202,401.1098277568817,1.0,630.9028100967407,72.19089388847351,0.0052766441367566586,342.12027645111084,402.7298917770386,0.0010648805182427168,630.9855241775513,76.35645112395287,0.01882302574813366,369.89240765571594,432.38947081565857,0.019985973834991455
1,348.0849286839366,398.2728133201599,0.9999998807907104,630.974359035492,72.30591344833374,0.005389187019318342,342.4407768249512,401.64122343063354,0.0010502352379262447,631.0768013000488,76.17135986685753,0.024310171604156494,370.0869151353836,431.8902745246887,0.019475167617201805
2,348.02716245502234,396.7938284277916,1.0,630.9394884109497,72.27930331230164,0.005469292867928743,342.56927394866943,401.69990491867065,0.0010089927818626165,329.1751937866211,424.64682388305664,0.03037220612168312,370.35372161865234,431.06725692749023,0.9619063138961792
3,347.7246394455433,395.18005216121674,1.0,630.9397740364075,72.27895212173462,0.005472053308039904,342.3744020462036,401.39747953414917,0.0008000755333341658,331.41104459762573,428.3842142224312,0.7298793792724609,371.61785265803337,430.09572315216064,0.99988853931427
4,347.2900460958481,393.83880591392517,1.0,630.9402303695679,72.27848935127258,0.005479797255247831,342.0533266067505,400.79661893844604,0.0007178327068686485,331.22124445438385,428.6084691286087,0.9994718432426453,372.9562598466873,429.79987251758575,0.9999974966049194
5,347.2485241293907,392.24233055114746,1.0,630.9426345825195,72.2735242843628,0.005494608078151941,372.0543260574341,435.25944995880127,0.0014800139470025897,331.33781695365906,427.9964978368953,0.9998600482940674,372.9979208111763,428.5115892291069,1.0
6,347.4839904308319,390.2690155506134,1.0,630.9406461715698,72.27637958526611,0.005508106201887131,378.08959221839905,428.57462310791016,0.002574200974777341,331.15824991464615,426.601464509964,0.9999970197677612,372.9124966263771,427.52909430861473,1.0
7,347.2810865044594,388.72652220726013,1.0,630.941014289856,72.2743763923645,0.005508542526513338,375.48170733451843,434.84929275512695,0.006005075294524431,331.7533960789442,425.936883687973,0.9999992847442627,372.36095145344734,425.1135005950928,1.0
8,346.3765048980713,386.9829431772232,1.0,630.9381589889526,72.27693486213684,0.00551261892542243,372.20254611968994,434.35078716278076,0.004937034100294113,331.432026386261,424.52149295806885,0.9999998807907104,372.46030232310295,423.6433708667755,1.0
9,346.7985351085663,385.60871386528015,1.0,331.711452960968,422.1771430969238,0.0069432626478374004,373.1922187805176,434.23464918136597,0.006737198680639267,330.7586829662323,422.9809625148773,1.0,372.42000141739845,422.39039850234985,1.0
10,346.4067224264145,384.6339638233185,1.0,331.1290325522423,421.4304370880127,0.009140870533883572,373.33082008361816,433.8996467590332,0.006405705586075783,330.661713719368,421.8248440027237,1.0,371.755736336112,420.74220901727676,1.0
11,346.2065278291702,383.5143942832947,1.0,330.6813439130783,422.0281171798706,0.0069495150819420815,375.3707232475281,427.4069571495056,0.007715951651334763,330.36728048324585,420.78587114810944,1.0,371.6279130280018,419.3927695155144,1.0
12,345.4713487625122,382.1217176914215,1.0,630.8447785377502,72.06032681465149,0.00643354095518589,375.6464812755585,427.1823983192444,0.010714489966630936,330.41009962558746,419.4303002357483,1.0,371.5713492333889,418.26588201522827,1.0
13,345.0844511985779,380.42839124798775,1.0,630.870144367218,71.99188232421875,0.005646846257150173,374.97743940353394,422.2373514175415,0.007831457071006298,330.2327836751938,417.9195342063904,1.0,371.5017058849335,416.68814277648926,1.0
14,344.9031448364258,378.8584440946579,1.0,630.8718848228455,71.9931378364563,0.0056490846909582615,372.96087551116943,420.0452251434326,0.005521629471331835,329.8498077392578,416.5429618358612,1.0,371.591621696949,415.670734167099,1.0
15,344.91427755355835,377.50092339515686,1.0,630.8678712844849,71.99340152740479,0.005654060747474432,375.9208519458771,421.9658622741699,0.005575310438871384,329.7077302932739,414.4631814956665,0.9999998807907104,371.648435652256,414.6426455974579,1.0
16,344.3101258277893,376.0235843658447,1.0,630.8687262535095,71.99388456344604,0.005667246878147125,376.2774295806885,421.622296333313,0.007831146009266376,329.65998220443726,413.2735949754715,1.0,371.4664447903633,413.19580495357513,1.0
17,344.2663731575012,374.79448223114014,1.0,630.8688058853149,71.99440288543701,0.005653648171573877,376.71770429611206,421.4620771408081,0.010080507956445217,329.3495235443115,411.73675084114075,1.0,371.1364706158638,411.22986602783203,1.0
18,344.18242740631104,373.59069752693176,1.0,630.8661017417908,72.11870741844177,0.006951747462153435,385.2408661842346,428.8884963989258,0.014546128921210766,328.7870876789093,410.44097566604614,1.0,371.2153573036194,409.5769019126892,1.0
19,343.8031876087189,372.20407240092754,1.0,630.9018635749817,72.14726257324219,0.006495789624750614,384.9281313419342,428.27894353866577,0.03008378855884075,328.9956126213074,408.8647894859314,1.0,370.8715167045593,408.0783519744873,1.0
20,343.434148311615,371.24397426843643,1.0,325.0375808477402,423.6458215713501,0.00987114105373621,384.1362385749817,426.9731320142746,0.20128083229064941,328.95503091812134,407.51680183410645,1.0,371.0980820655823,406.80974888801575,1.0
21,343.3944308757782,370.1609078645706,1.0,324.74216681718826,424.226881980896,0.15780214965343475,382.5168035030365,425.6266269683838,0.9414480328559875,328.6516013145447,406.2322623729706,1.0,370.61013889312744,405.1495590209961,1.0
22,343.2789990901947,369.4072570800781,1.0,323.42174702882767,424.65560483932495,0.9973449110984802,381.39445185661316,424.2276437282562,0.9998880624771118,328.8247470855713,404.767349421978,1.0,370.2002489566803,404.1835346221924,1.0
23,342.9234278202057,368.2633671760559,1.0,322.8688678741455,424.05106830596924,0.9999754428863525,380.5539613366127,423.8680512905121,0.9999940395355225,329.3333144187927,403.5631718337536,1.0,369.9226791858673,402.79044818878174,1.0
24,342.5739965438843,367.24136185646057,1.0,323.0664254426956,423.4341151714325,0.9999971389770508,380.3483062684536,422.8596432209015,0.999997615814209,329.36712169647217,402.5676636695862,1.0,369.76470375061035,401.9170665740967,1.0
25,342.40273666381836,366.27889752388,1.0,322.80351984500885,422.2502760887146,0.9999988079071045,380.3254388868809,422.2707726955414,0.9999983310699463,328.81645679473877,401.887535572052,1.0,369.7671790122986,400.76121520996094,1.0
26,342.2667565345764,365.2645993232727,1.0,322.63995015621185,421.3627350330353,0.9999994039535522,380.4474548101425,421.1115173101425,0.9999985694885254,328.66598558425903,400.6619300842285,1.0,369.4912533760071,399.18741154670715,1.0
27,342.00087571144104,364.14609482884407,1.0,322.19973134994507,420.577179312706,0.9999996423721313,380.6412012577057,420.2478870898485,0.9999985694885254,328.30989170074463,399.50013875961304,1.0,369.06530141830444,398.05557656288147,1.0
28,341.8561383485794,363.3089112639427,1.0,322.007101893425,419.5863028168678,0.9999997615814209,380.23077151179314,419.234373152256,0.9999986886978149,328.3131470680237,398.27390336990356,1.0,368.87975311279297,396.99741542339325,1.0
29,341.5730844736099,362.10312700271606,1.0,321.84006333351135,418.71525025367737,0.9999997615814209,379.87924176454544,417.74980783462524,0.9999984502792358,327.93403220176697,397.26749646663666,1.0,368.7585983276367,395.6923303604126,1.0
30,340.8820295929909,361.08063888549805,1.0,321.5346920490265,417.84516286849976,0.9999998807907104,379.58779749274254,416.18715262413025,0.9999980926513672,327.24047803878784,396.19109939038754,1.0,368.66212272644043,394.6803045272827,1.0
31,340.5912267565727,360.17542839050293,1.0,321.3933708667755,416.80388855934143,0.9999997615814209,379.25480365753174,415.02414560317993,0.9999969005584717,327.09046173095703,394.94687271118164,1.0,368.26837491989136,393.6473741531372,1.0
32,340.3503959476948,359.0639708042145,1.0,321.67582416534424,415.9561879634857,0.9999996423721313,379.03824985027313,414.02446460723877,0.9999957084655762,326.4312777519226,394.0353813171387,1.0,367.83363032341003,392.6524453163147,1.0
33,340.1563505679369,358.1553156375885,1.0,321.4356527328491,414.5088050365448,0.9999998807907104,378.83698880672455,412.94878327846527,0.9999960660934448,326.20656657218933,393.09655380249023,1.0,367.59476351737976,391.47167801856995,1.0
34,339.3388971686363,357.2601058483124,1.0,321.4061584472656,413.17207181453705,0.9999998807907104,378.84666991233826,411.8384148776531,0.999996542930603,326.0303244590759,391.9912509918213,1.0,367.2496087551117,390.4628818035126,1.0
35,338.8435535430908,356.32108986377716,1.0,321.340224981308,412.3785188496113,0.9999998807907104,378.60078167915344,410.2967278957367,0.9999959468841553,325.69300734996796,390.61200642585754,1.0,366.83656096458435,389.28819930553436,1.0
36,338.370641708374,355.4859753251076,1.0,320.70332503318787,411.28542697429657,0.9999997615814209,378.0441664457321,408.5781841278076,0.9999985694885254,325.34794771671295,389.5221085548401,1.0,366.3802373409271,388.11414190381765,1.0
37,337.7276282310486,354.7516691684723,1.0,320.46565413475037,410.1485868692398,0.9999996423721313,377.760370016098,407.10069036483765,0.9999994039535522,325.6411381959915,387.64715480804443,1.0,366.1224753856659,387.04553270339966,1.0
38,337.24745750427246,354.1500816345215,1.0,320.7276408672333,408.70933723449707,0.9999995231628418,377.43849992752075,406.16510796546936,0.9999994039535522,325.30783236026764,387.0859217643738,1.0,365.94767785072327,386.04620265960693,1.0
39,336.9055812358856,353.2993178367615,1.0,320.3104875087738,407.7555134296417,0.9999997615814209,376.8828990459442,405.1598311662674,0.9999994039535522,324.72990959882736,386.0841908454895,1.0,365.4138284921646,384.9478850364685,1.0
40,336.5484573841095,352.6461772918701,1.0,320.08052921295166,406.55172967910767,0.9999997615814209,376.513916015625,403.7241931259632,0.9999992847442627,324.07345225661993,385.31793308258057,1.0,365.1595958471298,383.8016767501831,1.0
41,335.9984679222107,352.47694396972656,1.0,320.15903186798096,405.1953788995743,0.9999998807907104,376.0431480407715,402.50650227069855,0.9999990463256836,324.0599723979831,384.3814888000488,1.0,364.74165803194046,382.66357827186584,1.0
42,335.96587896347046,351.6751937866211,1.0,320.19102716445923,403.85277286171913,0.9999998807907104,375.8442659378052,401.4283378124237,0.9999985694885254,323.7667612731457,383.4025077819824,1.0,364.4716086387634,381.820788025856,1.0
43,335.76039838790894,350.9191040992737,1.0,320.0468153953552,402.2035526037216,0.9999997615814209,374.5996198654175,399.12636494636536,0.9999990463256836,323.3083854317665,382.43978357315063,1.0,363.917259439826,380.43811893463135,1.0
44,334.7636194229126,349.75899839401245,1.0,319.9597079753876,400.6317038536072,0.9999997615814209,374.63346910476685,398.33116006851196,0.9999992847442627,323.18279176950455,381.7793846130371,1.0,363.70457008481026,379.287889957428,1.0
45,334.2364480495453,349.05952751636505,1.0,319.8631010055542,399.4371089935303,0.9999992847442627,374.514741897583,397.1981679201126,0.9999995231628418,323.0840177536011,380.7890189886093,1.0,363.65962916612625,378.51173210144043,1.0
46,334.048300743103,348.50611078739166,1.0,320.29108691215515,398.363511800766,0.9999991655349731,374.3356819152832,395.1915701031685,0.9999995231628418,322.7251353263855,379.89599124342203,1.0,363.29539197683334,377.28849172592163,1.0
47,333.76013469696045,347.68522441387177,1.0,320.470272064209,397.00119745731354,0.9999996423721313,374.2831292152405,394.05405247211456,0.9999995231628418,322.1419270038605,379.03892278671265,1.0,363.14332711696625,376.4422082901001,1.0
48,333.81946182250977,347.0382060408592,1.0,320.36487889289856,395.7069501876831,0.9999996423721313,373.80683970451355,392.979679107666,0.9999994039535522,321.80223321914673,377.8682270050049,1.0,362.9724817276001,375.78240728378296,1.0
49,333.756152510643,346.4541208744049,1.0,319.80481910705566,394.26387655735016,0.9999995231628418,373.63260424137115,391.5893669128418,0.9999996423721313,321.6438386440277,376.6058282852173,1.0,362.7300662994385,374.5790374279022,1.0
50,333.6352211236954,345.6805658340454,1.0,319.6768054962158,393.3357820510864,0.9999990463256836,373.5390030145645,390.13791251182556,0.9999997615814209,321.6990442276001,375.4423563480377,1.0,362.4084873199463,373.4473270177841,1.0
51,332.9953084588051,344.3007230758667,1.0,320.1142210960388,392.198655128479,0.9999990463256836,373.3151730298996,388.9636922478676,0.9999997615814209,321.3433313369751,374.4723734855652,1.0,362.32526111602783,372.40277898311615,1.0
52,332.96830785274506,343.71614480018616,1.0,319.97228050231934,390.92876076698303,0.9999986886978149,373.3474109172821,388.0670242831111,0.9999997615814209,321.141788482666,373.56396198272705,1.0,362.1521530151367,371.2494878768921,1.0
53,332.7950674891472,342.95288920402527,1.0,319.60731863975525,389.83206391334534,0.9999990463256836,373.4071271419525,386.7937525510788,0.9999997615814209,320.87650775909424,372.4085864126682,1.0,362.2587306499481,369.96682834625244,1.0
